Mozilla/5.0 (Linux; Android 9.0; LG Isai VL) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/96.0.0.0 Safari/537.36 OPR/95.0.4447.38
Mozilla/5.0 (Linux; Android 11; Kyocera Hydro IconKyocera Hydro Icon) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/105.0.0.0 Safari/537.36 OPR/118.0.4447.38
Mozilla/5.0 (Linux; Android 12; Huawei Ascend G620S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/119.0.0.0 Safari/537.36 OPR/98.0.4447.38
Mozilla/5.0 (Linux; Android 9.0; Samsung Galaxy Ace Duos La Fleur) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/100.0.2987.108 UCBrowser/93 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Samsung Galaxy Grand 2 G7106) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/90.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 8.1.0; Itel A32FItel A32F) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/99.0.0.0 Safari/537.36 OPR/111.0.0.0
Mozilla/5.0 (Linux; Android 11; Nokia 8.3 5G) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/96.0.2987.108 UCBrowser/103 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 11; Sony Xperia T LTE) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/107.0.0.0 Safari/537.36 OPR/103.0.0.0
Mozilla/5.0 (Linux; Android 11; Lenovo A298t) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/118.0.0.0 Safari/537.36 OPR/95.0.0.0
Mozilla/5.0 (Linux; Android 12; Alcatel Duet App!) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/111.0.2987.108 UCBrowser/92 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 13; Lenovo A628T) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/116.0.2987.108 UCBrowser/104 Mobile Safari/537.36
Mozilla/5.0 (Linux; Android 10; Xiaomi MI-2S) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/100.0.0.0 Safari/537.36
Mozilla/5.0 (Linux; Android 11; Vivo X3) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/106.0.0.0 Safari/537.36 OPR/106.0.0.0
